kunde_id,maaned,innlogginger,korttransaksjoner
K100005,2024-11,15,42
K100005,2024-12,12,43
K100005,2025-01,19,58
K100005,2025-02,15,40
K100005,2025-03,18,56
K100005,2025-04,21,40
K100005,2025-05,16,46
K100005,2025-06,17,57
K100005,2025-07,12,38
K100005,2025-08,12,41
K100005,2025-09,10,47
K100005,2025-10,12,39
K100005,2025-11,17,45
K100005,2025-12,11,33
K100006,2024-01,5,25
K100006,2024-02,5,14
K100006,2024-03,2,23
K100006,2024-04,9,21
K100006,2024-05,1,13
K100006,2024-06,3,17
K100006,2024-07,6,11
K100006,2024-08,5,20
K100006,2024-09,2,16
K100006,2024-10,3,18
K100006,2024-11,2,21
K100006,2024-12,1,19
K100006,2025-01,5,12
K100006,2025-02,5,22
K100006,2025-03,6,18
K100006,2025-04,6,14
K100006,2025-05,7,12
K100006,2025-06,3,21
K100006,2025-07,0,20
K100006,2025-08,2,17
K100006,2025-09,8,19
K100006,2025-10,5,19
K100006,2025-11,4,20
K100006,2025-12,3,17
K100007,2024-01,12,24
K100007,2024-02,4,33
K100007,2024-03,10,24
K100007,2024-04,9,34
K100007,2024-05,3,23
K100007,2024-06,5,17
K100007,2024-07,5,18
K100007,2024-08,8,24
K100007,2024-09,11,12
K100007,2024-10,9,23
K100007,2024-11,10,21
K100007,2024-12,10,25
K100007,2025-01,2,26
K100007,2025-02,10,30
K100007,2025-03,8,14
K100007,2025-04,6,28
K100007,2025-05,7,27
K100007,2025-06,5,27
K100007,2025-07,5,23
K100007,2025-08,5,27
K100007,2025-09,3,23
K100007,2025-10,8,29
K100007,2025-11,6,19
K100007,2025-12,10,40
K100008,2024-01,20,57
K100008,2024-02,16,73
K100008,2024-03,18,68
K100008,2024-04,17,55
K100008,2024-05,25,59
K100008,2024-06,22,61
K100008,2024-07,22,63
K100008,2024-08,26,67
K100008,2024-09,14,54
K100008,2024-10,21,54
K100008,2024-11,23,54
K100008,2024-12,22,53
K100008,2025-01,21,48
K100008,2025-02,17,60
K100008,2025-03,25,69
K100008,2025-04,36,54
K100008,2025-05,23,86
K100008,2025-06,29,80
K100008,2025-07,22,62
K100008,2025-08,16,59
K100008,2025-09,27,65
K100008,2025-10,20,60
K100008,2025-11,18,55
K100008,2025-12,21,44
K100009,2024-01,9,47
K100009,2024-02,15,45
K100009,2024-03,15,56
K100009,2024-04,13,37
K100009,2024-05,13,39
K100009,2024-06,18,46
K100009,2024-07,14,41
K100009,2024-08,14,37
K100009,2024-09,13,31
K100009,2024-10,11,31
K100009,2024-11,12,28
K100009,2024-12,17,29
K100009,2025-01,10,32
K100009,2025-02,17,42
K100009,2025-03,15,42
K100009,2025-04,19,39
K100009,2025-05,13,48
K100009,2025-06,13,48
K100009,2025-07,14,43
K100009,2025-08,24,41
K100009,2025-09,15,36
K100009,2025-10,5,39
K100009,2025-11,18,38
K100009,2025-12,8,33
K100010,2024-01,5,40
K100010,2024-02,19,40
K100010,2024-03,8,30
K100010,2024-04,8,27
K100010,2024-05,16,30
K100010,2024-06,12,46
K100010,2024-07,10,31
K100010,2024-08,16,30
K100010,2024-09,11,24
K100010,2024-10,8,28
K100010,2024-11,9,39
K100010,2024-12,13,32
K100010,2025-01,12,39
K100010,2025-02,15,30
K100010,2025-03,13,38
K100010,2025-04,8,31
K100010,2025-05,11,32
K100010,2025-06,7,20
K100010,2025-07,7,28
K100010,2025-08,9,37
K100010,2025-09,7,28
K100010,2025-10,7,33
K100010,2025-11,6,26
K100010,2025-12,14,35
K100011,2024-01,9,36
K100011,2024-02,12,45
K100011,2024-03,13,34
K100011,2024-04,13,32
K100011,2024-05,13,51
K100011,2024-06,17,28
K100011,2024-07,10,42
K100011,2024-08,5,46
K100011,2024-09,11,34
K100011,2024-10,9,37
K100011,2024-11,11,36
K100011,2024-12,16,37
K100011,2025-01,11,29
K100011,2025-02,11,35
K100011,2025-03,10,42
K100011,2025-04,6,32
K100011,2025-05,8,45
K100011,2025-06,18,39
K100011,2025-07,14,39
K100011,2025-08,14,30
K100011,2025-09,13,37
K100011,2025-10,7,35
K100011,2025-11,14,44
K100011,2025-12,12,38
K100012,2024-01,12,29
K100012,2024-02,11,39
K100012,2024-03,11,43
K100012,2024-04,11,35
K100012,2024-05,9,35
K100012,2024-06,11,41
K100012,2024-07,11,33
K100012,2024-08,19,30
K100012,2024-09,10,29
K100012,2024-10,10,29
K100012,2024-11,15,29
K100012,2024-12,3,39
K100012,2025-01,13,30
K100012,2025-02,14,31
K100012,2025-03,9,37
K100012,2025-04,10,28
K100012,2025-05,11,34
K100012,2025-06,9,35
K100012,2025-07,16,46
K100012,2025-08,16,29
K100012,2025-09,11,39
K100012,2025-10,7,24
K100012,2025-11,13,29
K100012,2025-12,9,32
K100013,2024-01,7,23
K100013,2024-02,10,24
K100013,2024-03,7,23
K100013,2024-04,7,29
K100013,2024-05,8,22
K100013,2024-06,4,33
K100013,2024-07,7,21
K100013,2024-08,5,30
K100013,2024-09,8,31
K100013,2024-10,7,24
K100013,2024-11,6,26
K100013,2024-12,6,32
K100013,2025-01,6,30
K100013,2025-02,7,27
K100013,2025-03,9,24
K100013,2025-04,8,18
K100013,2025-05,6,25
K100013,2025-06,8,25
K100013,2025-07,7,21
K100013,2025-08,2,24
K100013,2025-09,4,31
K100013,2025-10,8,28
K100013,2025-11,15,13
K100013,2025-12,6,27
K100014,2024-01,23,51
K100014,2024-02,22,38
K100014,2024-03,13,34
K100014,2024-04,16,34
K100014,2024-05,21,28
K100014,2024-06,20,35
K100014,2024-07,21,56
K100014,2024-08,17,38
K100014,2024-09,8,35
K100014,2024-10,10,39
K100014,2024-11,18,40
K100014,2024-12,13,31
K100014,2025-01,19,42
K100014,2025-02,14,42
K100014,2025-03,20,31
K100014,2025-04,19,46
K100014,2025-05,11,27
K100014,2025-06,14,42
K100014,2025-07,15,42
K100014,2025-08,9,28
K100014,2025-09,11,50
K100014,2025-10,14,38
K100014,2025-11,11,38
K100014,2025-12,14,37
K100015,2024-01,16,46
K100015,2024-02,14,58
K100015,2024-03,18,48
K100015,2024-04,13,46
K100015,2024-05,25,51
K100015,2024-06,15,48
K100015,2024-07,15,42
K100015,2024-08,18,57
K100015,2024-09,15,52
K100015,2024-10,16,39
K100015,2024-11,12,42
K100015,2024-12,17,41
K100015,2025-01,21,52
K100015,2025-02,23,52
K100015,2025-03,17,41
K100015,2025-04,20,58
K100015,2025-05,21,58
K100015,2025-06,17,45
K100015,2025-07,19,45
K100015,2025-08,12,57
K100015,2025-09,17,53
K100015,2025-10,11,43
K100015,2025-11,16,40
K100015,2025-12,16,48
K100016,2024-01,22,62
K100016,2024-02,25,47
K100016,2024-03,27,58
K100016,2024-04,27,60
K100016,2024-05,26,59
K100016,2024-06,22,42
K100016,2024-07,16,55
K100016,2024-08,28,66
K100016,2024-09,11,51
K100016,2024-10,24,53
K100016,2024-11,23,46
K100016,2024-12,18,45
K100016,2025-01,24,57
K100016,2025-02,29,71
K100016,2025-03,26,68
K100016,2025-04,22,59
K100016,2025-05,23,63
K100016,2025-06,18,59
K100016,2025-07,20,63
K100016,2025-08,29,65
K100016,2025-09,24,50
K100016,2025-10,14,59
K100016,2025-11,20,57
K100016,2025-12,16,46
K100017,2024-01,17,41
K100017,2024-02,8,30
K100017,2024-03,13,18
K100017,2024-04,12,38
K100017,2024-05,14,37
K100017,2024-06,12,30
K100017,2024-07,13,35
K100017,2024-08,10,25
K100017,2024-09,16,28
K100017,2024-10,5,25
K100017,2024-11,14,37
K100017,2024-12,10,40
K100017,2025-01,10,41
K100017,2025-02,13,36
K100017,2025-03,9,38
K100017,2025-04,10,24
K100017,2025-05,10,40
K100017,2025-06,14,42
K100017,2025-07,15,36
K100017,2025-08,11,42
K100017,2025-09,11,29
K100017,2025-10,13,44
K100017,2025-11,10,38
K100017,2025-12,10,31
K100018,2024-01,20,40
K100018,2024-02,17,39
K100018,2024-03,12,40
K100018,2024-04,20,63
K100018,2024-05,18,49
K100018,2024-06,13,53
K100018,2024-07,13,58
K100018,2024-08,9,47
K100018,2024-09,18,54
K100018,2024-10,12,53
K100018,2024-11,15,38
K100018,2024-12,12,59
K100018,2025-01,14,41
K100018,2025-02,18,52
K100018,2025-03,16,43
K100018,2025-04,18,51
K100018,2025-05,8,53
K100018,2025-06,18,51
K100018,2025-07,20,43
K100018,2025-08,10,40
K100018,2025-09,14,40
K100018,2025-10,15,36
K100018,2025-11,10,35
K100018,2025-12,13,17
K100019,2024-01,11,30
K100019,2024-02,14,26
K100019,2024-03,13,40
K100019,2024-04,12,29
K100019,2024-05,9,33
K100019,2024-06,5,27
K100019,2024-07,9,36
K100019,2024-08,10,28
K100019,2024-09,11,41
K100019,2024-10,8,31
K100019,2024-11,13,41
K100019,2024-12,13,39
K100019,2025-01,16,34
K100019,2025-02,10,40
K100019,2025-03,10,38
K100019,2025-04,5,37
K100019,2025-05,14,38
K100019,2025-06,19,40
K100019,2025-07,14,38
K100019,2025-08,15,33
K100019,2025-09,15,32
K100019,2025-10,8,25
K100019,2025-11,8,32
K100019,2025-12,13,19
K100020,2024-01,20,46
K100020,2024-02,20,54
K100020,2024-03,23,55
K100020,2024-04,29,61
K100020,2024-05,12,38
K100020,2024-06,18,48
K100020,2024-07,20,43
K100020,2024-08,14,60
K100020,2024-09,16,58
K100020,2024-10,14,51
K100020,2024-11,25,57
K100020,2024-12,23,51
K100020,2025-01,14,56
K100020,2025-02,17,70
K100020,2025-03,22,51
K100020,2025-04,28,50
K100020,2025-05,23,58
K100020,2025-06,19,46
K100020,2025-07,17,53
K100020,2025-08,23,50
K100020,2025-09,14,48
K100020,2025-10,13,45
K100020,2025-11,18,58
K100020,2025-12,21,61
K100021,2024-01,5,15
K100021,2024-02,2,13
K100021,2024-03,2,26
K100021,2024-04,5,19
K100021,2024-05,6,22
K100021,2024-06,5,21
K100021,2024-07,2,27
K100021,2024-08,1,18
K100021,2024-09,3,22
K100021,2024-10,4,15
K100021,2024-11,3,27
K100021,2024-12,7,20
K100021,2025-01,6,24
K100021,2025-02,2,23
K100021,2025-03,4,20
K100021,2025-04,7,23
K100021,2025-05,4,14
K100021,2025-06,5,22
K100021,2025-07,4,11
K100021,2025-08,3,20
K100021,2025-09,9,15
K100021,2025-10,8,13
K100021,2025-11,5,19
K100021,2025-12,7,14
K100022,2024-01,16,44
K100022,2024-02,8,32
K100022,2024-03,16,40
K100022,2024-04,9,44
K100022,2024-05,17,39
K100022,2024-06,9,34
K100022,2024-07,14,30
K100022,2024-08,12,38
K100022,2024-09,7,29
K100022,2024-10,6,31
K100022,2024-11,13,34
K100022,2024-12,6,43
K100022,2025-01,17,36
K100022,2025-02,9,38
K100022,2025-03,9,41
K100022,2025-04,15,38
K100022,2025-05,8,35
K100022,2025-06,7,36
K100022,2025-07,12,37
K100022,2025-08,8,21
K100022,2025-09,6,22
K100022,2025-10,8,45
K100022,2025-11,10,34
K100022,2025-12,16,25
K100023,2024-01,19,32
K100023,2024-02,10,63
K100023,2024-03,11,41
K100023,2024-04,12,47
K100023,2024-05,21,41
K100023,2024-06,13,39
K100023,2024-07,13,42
K100023,2024-08,15,45
K100023,2024-09,10,41
K100023,2024-10,11,45
K100023,2024-11,11,38
K100023,2024-12,15,48
K100023,2025-01,11,44
K100023,2025-02,17,46
K100023,2025-03,13,54
K100023,2025-04,14,43
K100023,2025-05,16,46
K100023,2025-06,17,52
K100023,2025-07,16,51
K100023,2025-08,14,40
K100023,2025-09,15,41
K100023,2025-10,11,28
K100023,2025-11,15,41
K100023,2025-12,12,29
K100024,2024-01,18,72
K100024,2024-02,21,65
K100024,2024-03,34,74
K100024,2024-04,22,62
K100024,2024-05,25,72
K100024,2024-06,28,69
K100024,2024-07,24,46
K100024,2024-08,19,65
K100024,2024-09,27,61
K100024,2024-10,24,67
K100024,2024-11,22,63
K100024,2024-12,35,66
K100024,2025-01,21,66
K100024,2025-02,20,72
K100024,2025-03,18,58
K100024,2025-04,29,63
K100024,2025-05,20,66
K100024,2025-06,28,90
K100024,2025-07,24,62
K100024,2025-08,20,63
K100024,2025-09,24,59
K100024,2025-10,22,46
K100024,2025-11,13,48
K100024,2025-12,10,37
K100025,2024-01,9,29
K100025,2024-02,4,33
K100025,2024-03,8,24
K100025,2024-04,7,27
K100025,2024-05,13,33
K100025,2024-06,9,32
K100025,2024-07,10,19
K100025,2024-08,9,24
K100025,2024-09,9,29
K100025,2024-10,7,28
K100025,2024-11,6,33
K100025,2024-12,11,24
K100025,2025-01,8,35
K100025,2025-02,11,27
K100025,2025-03,4,15
K100025,2025-04,7,27
K100025,2025-05,3,26
K100025,2025-06,7,25
K100025,2025-07,4,17
K100025,2025-08,8,36
K100025,2025-09,8,27
K100025,2025-10,8,23
K100025,2025-11,5,19
K100025,2025-12,11,26
K100026,2024-01,23,54
K100026,2024-02,17,69
K100026,2024-03,14,51
K100026,2024-04,16,49
K100026,2024-05,23,59
K100026,2024-06,12,63
K100026,2024-07,18,51
K100026,2024-08,16,51
K100026,2024-09,15,65
K100026,2024-10,10,42
K100026,2024-11,24,51
K100026,2024-12,20,63
K100026,2025-01,21,60
K100026,2025-02,18,67
K100026,2025-03,20,57
K100026,2025-04,20,63
K100026,2025-05,15,65
K100026,2025-06,31,63
K100026,2025-07,28,69
K100026,2025-08,22,34
K100026,2025-09,22,79
K100026,2025-10,22,50
K100026,2025-11,11,54
K100026,2025-12,23,37
K100027,2024-01,14,40
K100027,2024-02,15,47
K100027,2024-03,13,42
K100027,2024-04,9,46
K100027,2024-05,19,40
K100027,2024-06,18,38
K100027,2024-07,19,32
K100027,2024-08,13,42
K100027,2024-09,7,30
K100027,2024-10,7,35
K100027,2024-11,15,37
K100027,2024-12,14,42
K100027,2025-01,9,37
K100027,2025-02,17,52
K100027,2025-03,12,35
K100027,2025-04,24,43
K100027,2025-05,15,40
K100027,2025-06,18,38
K100027,2025-07,16,38
K100027,2025-08,14,33
K100027,2025-09,17,45
K100027,2025-10,13,41
K100027,2025-11,17,36
K100027,2025-12,13,35
K100028,2024-01,13,29
K100028,2024-02,11,35
K100028,2024-03,9,35
K100028,2024-04,11,37
K100028,2024-05,5,24
K100028,2024-06,11,18
K100028,2024-07,8,31
K100028,2024-08,4,34
K100028,2024-09,10,28
K100028,2024-10,8,22
K100028,2024-11,9,20
K100028,2024-12,7,28
K100028,2025-01,9,22
K100028,2025-02,11,23
K100028,2025-03,7,16
K100028,2025-04,9,17
K100028,2025-05,10,32
K100028,2025-06,3,31
K100028,2025-07,7,36
K100028,2025-08,12,29
K100028,2025-09,12,21
K100028,2025-10,5,27
K100028,2025-11,3,24
K100028,2025-12,6,24
K100029,2024-01,25,38
K100029,2024-02,20,44
K100029,2024-03,13,61
K100029,2024-04,14,45
K100029,2024-05,17,48
K100029,2024-06,14,52
K100029,2024-07,22,64
K100029,2024-08,18,44
K100029,2024-09,23,41
K100029,2024-10,20,44
K100029,2024-11,12,43
K100029,2024-12,19,37
K100029,2025-01,16,47
K100029,2025-02,22,63
K100029,2025-03,12,44
K100029,2025-04,11,33
K100029,2025-05,20,58
K100029,2025-06,22,43
K100029,2025-07,16,56
K100029,2025-08,19,51
K100029,2025-09,14,44
K100029,2025-10,10,45
K100029,2025-11,20,58
K100029,2025-12,18,44
K100030,2024-01,12,40
K100030,2024-02,11,43
K100030,2024-03,9,36
K100030,2024-04,10,35
K100030,2024-05,11,42
K100030,2024-06,16,33
K100030,2024-07,16,26
K100030,2024-08,2,39
K100030,2024-09,6,36
K100030,2024-10,13,44
K100030,2024-11,9,27
K100030,2024-12,12,36
K100030,2025-01,13,41
K100030,2025-02,14,37
K100030,2025-03,15,34
K100030,2025-04,13,40
K100030,2025-05,17,41
K100030,2025-06,8,32
K100030,2025-07,15,36
K100030,2025-08,12,32
K100030,2025-09,13,42
K100030,2025-10,15,31
K100030,2025-11,16,37
K100030,2025-12,12,33
K100031,2024-01,14,28
K100031,2024-02,7,35
K100031,2024-03,9,40
K100031,2024-04,14,35
K100031,2024-05,10,29
K100031,2024-06,9,27
K100031,2024-07,12,23
K100031,2024-08,13,35
K100031,2024-09,8,32
K100031,2024-10,9,20
K100031,2024-11,8,35
K100031,2024-12,10,35
K100031,2025-01,9,40
K100031,2025-02,13,44
K100031,2025-03,14,31
K100031,2025-04,14,35
K100031,2025-05,10,34
K100031,2025-06,15,20
K100031,2025-07,7,23
K100031,2025-08,7,30
K100031,2025-09,17,33
K100031,2025-10,7,40
K100031,2025-11,10,44
K100031,2025-12,3,28
K100032,2024-01,5,28
K100032,2024-02,4,25
K100032,2024-03,8,23
K100032,2024-04,4,18
K100032,2024-05,6,21
K100032,2024-06,7,21
K100032,2024-07,1,20
K100032,2024-08,6,28
K100032,2024-09,3,26
K100032,2024-10,7,20
K100032,2024-11,10,21
K100032,2024-12,4,19
K100032,2025-01,5,21
K100032,2025-02,5,18
K100032,2025-03,4,28
K100032,2025-04,6,21
K100032,2025-05,4,20
K100032,2025-06,4,20
K100032,2025-07,4,20
K100032,2025-08,5,21
K100032,2025-09,5,19
K100032,2025-10,5,18
K100032,2025-11,3,19
K100032,2025-12,4,20
K100033,2024-01,19,53
K100033,2024-02,21,50
K100033,2024-03,17,42
K100033,2024-04,14,53
K100033,2024-05,26,59
K100033,2024-06,16,45
K100033,2024-07,20,43
K100033,2024-08,25,53
K100033,2024-09,24,44
K100033,2024-10,13,48
K100033,2024-11,16,48
K100033,2024-12,14,41
K100033,2025-01,21,46
K100033,2025-02,23,54
K100033,2025-03,18,40
K100033,2025-04,26,60
K100033,2025-05,19,51
K100033,2025-06,16,60
K100033,2025-07,11,41
K100033,2025-08,10,53
K100033,2025-09,14,62
K100033,2025-10,15,57
K100033,2025-11,18,51
K100033,2025-12,16,50
K100034,2024-01,14,41
K100034,2024-02,20,45
K100034,2024-03,19,43
K100034,2024-04,12,33
K100034,2024-05,17,31
K100034,2024-06,13,38
K100034,2024-07,15,35
K100034,2024-08,17,36
K100034,2024-09,9,31
K100034,2024-10,11,44
K100034,2024-11,6,37
K100034,2024-12,3,40
K100034,2025-01,13,20
K100034,2025-02,9,46
K100034,2025-03,10,43
K100034,2025-04,11,39
K100034,2025-05,17,43
K100034,2025-06,13,43
K100034,2025-07,14,46
K100034,2025-08,12,26
K100034,2025-09,15,27
K100034,2025-10,6,28
K100034,2025-11,9,24
K100034,2025-12,10,31
K100035,2024-01,9,26
K100035,2024-02,9,34
K100035,2024-03,5,26
K100035,2024-04,7,29
K100035,2024-05,10,38
K100035,2024-06,9,31
K100035,2024-07,8,29
K100035,2024-08,1,25
K100035,2024-09,8,31
K100035,2024-10,6,30
K100035,2024-11,10,29
K100035,2024-12,11,20
K100035,2025-01,8,30
K100035,2025-02,11,32
K100035,2025-03,7,39
K100035,2025-04,8,33
K100035,2025-05,5,40
K100035,2025-06,5,26
K100035,2025-07,7,32
K100035,2025-08,9,27
K100035,2025-09,6,31
K100035,2025-10,8,21
K100035,2025-11,8,26
K100035,2025-12,4,29
K100036,2024-01,13,35
K100036,2024-02,15,37
K100036,2024-03,14,42
K100036,2024-04,9,31
K100036,2024-05,11,39
K100036,2024-06,9,36
K100036,2024-07,13,42
K100036,2024-08,14,30
K100036,2024-09,11,54
K100036,2024-10,11,30
K100036,2024-11,7,38
K100036,2024-12,7,33
K100036,2025-01,12,36
K100036,2025-02,7,31
K100036,2025-03,15,54
K100036,2025-04,12,32
K100036,2025-05,15,44
K100036,2025-06,14,33
K100036,2025-07,15,47
K100036,2025-08,11,33
K100036,2025-09,15,38
K100036,2025-10,11,32
K100036,2025-11,5,22
K100036,2025-12,9,23
K100037,2024-01,10,44
K100037,2024-02,14,47
K100037,2024-03,13,38
K100037,2024-04,12,40
K100037,2024-05,10,42
K100037,2024-06,17,41
K100037,2024-07,17,46
K100037,2024-08,8,44
K100037,2024-09,13,55
K100037,2024-10,8,26
K100037,2024-11,12,56
K100037,2024-12,12,45
K100037,2025-01,14,46
K100037,2025-02,12,38
K100037,2025-03,21,37
K100037,2025-04,14,38
K100037,2025-05,15,42
K100037,2025-06,11,31
K100037,2025-07,20,29
K100037,2025-08,19,56
K100037,2025-09,12,34
K100037,2025-10,7,34
K100037,2025-11,14,26
K100037,2025-12,16,51
K100038,2024-01,11,30
K100038,2024-02,18,50
K100038,2024-03,14,44
K100038,2024-04,8,44
K100038,2024-05,16,45
K100038,2024-06,14,35
K100038,2024-07,11,47
K100038,2024-08,13,52
K100038,2024-09,13,25
K100038,2024-10,11,27
K100038,2024-11,11,36
K100038,2024-12,12,31
K100038,2025-01,16,35
K100038,2025-02,19,43
K100038,2025-03,18,35
K100038,2025-04,14,41
K100038,2025-05,9,36
K100038,2025-06,15,48
K100038,2025-07,15,27
K100038,2025-08,14,30
K100038,2025-09,12,51
K100038,2025-10,4,40
K100038,2025-11,11,43
K100038,2025-12,10,29
K100039,2024-01,8,23
K100039,2024-02,1,13
K100039,2024-03,3,19
K100039,2024-04,2,17
K100039,2024-05,4,19
K100039,2024-06,2,13
K100039,2024-07,4,15
K100039,2024-08,1,14
K100039,2024-09,9,14
K100039,2024-10,1,13
K100039,2024-11,5,19
K100039,2024-12,3,13
K100039,2025-01,6,14
K100039,2025-02,1,18
K100039,2025-03,6,13
K100039,2025-04,4,13
K100039,2025-05,6,14
K100039,2025-06,4,18
K100039,2025-07,4,19
K100039,2025-08,3,17
K100039,2025-09,8,15
K100039,2025-10,4,15
K100039,2025-11,0,23
K100039,2025-12,5,8
K100040,2024-01,6,19
K100040,2024-02,5,19
K100040,2024-03,7,29
K100040,2024-04,9,23
K100040,2024-05,15,19
K100040,2024-06,8,24
K100040,2024-07,9,18
K100040,2024-08,8,24
K100040,2024-09,10,20
K100040,2024-10,5,18
K100040,2024-11,3,25
K100040,2024-12,9,23
K100040,2025-01,6,20
K100040,2025-02,9,34
K100040,2025-03,5,24
K100040,2025-04,5,27
K100040,2025-05,10,22
K100040,2025-06,7,22
K100040,2025-07,3,26
K100040,2025-08,7,14
K100040,2025-09,12,25
K100040,2025-10,2,20
K100040,2025-11,4,22
K100040,2025-12,4,15
K100041,2024-01,2,15
K100041,2024-02,7,17
K100041,2024-03,0,15
K100041,2024-04,1,17
K100041,2024-05,0,11
K100041,2024-06,4,19
K100041,2024-07,3,13
K100041,2024-08,3,11
K100041,2024-09,4,16
K100041,2024-10,5,16
K100041,2024-11,1,15
K100041,2024-12,0,14
K100041,2025-01,4,18
K100041,2025-02,0,12
K100041,2025-03,2,14
K100041,2025-04,3,16
K100041,2025-05,2,10
K100041,2025-06,4,11
K100041,2025-07,2,14
K100041,2025-08,5,16
K100041,2025-09,5,12
K100041,2025-10,1,6
K100041,2025-11,1,15
K100041,2025-12,1,9
K100042,2024-01,14,49
K100042,2024-02,23,51
K100042,2024-03,20,39
K100042,2024-04,22,60
K100042,2024-05,15,55
K100042,2024-06,20,43
K100042,2024-07,16,41
K100042,2024-08,20,63
K100042,2024-09,14,40
K100042,2024-10,9,60
K100042,2024-11,17,60
K100042,2024-12,15,38
K100042,2025-01,25,56
K100042,2025-02,16,55
K100042,2025-03,23,47
K100042,2025-04,26,61
K100042,2025-05,19,55
K100042,2025-06,15,51
K100042,2025-07,14,48
K100042,2025-08,21,43
K100042,2025-09,14,36
K100042,2025-10,13,48
K100042,2025-11,23,58
K100042,2025-12,18,57
K100043,2024-01,14,31
K100043,2024-02,8,30
K100043,2024-03,7,38
K100043,2024-04,13,37
K100043,2024-05,14,31
K100043,2024-06,8,46
K100043,2024-07,11,32
K100043,2024-08,13,37
K100043,2024-09,6,35
K100043,2024-10,10,40
K100043,2024-11,15,39
K100043,2024-12,11,32
K100043,2025-01,13,17
K100043,2025-02,15,42
K100043,2025-03,27,39
K100043,2025-04,11,33
K100043,2025-05,12,38
K100043,2025-06,14,44
K100043,2025-07,12,38
K100043,2025-08,10,45
K100043,2025-09,8,37
K100043,2025-10,14,36
K100043,2025-11,10,38
K100043,2025-12,12,28
K100044,2024-01,11,35
K100044,2024-02,6,21
K100044,2024-03,9,32
K100044,2024-04,10,36
K100044,2024-05,13,36
K100044,2024-06,6,25
K100044,2024-07,4,25
K100044,2024-08,7,25
K100044,2024-09,8,22
K100044,2024-10,6,25
K100044,2024-11,8,27
K100044,2024-12,9,23
K100044,2025-01,9,17
K100044,2025-02,12,25
K100044,2025-03,12,39
K100044,2025-04,8,35
K100044,2025-05,9,33
