kunde_id_1,kunde_id_2,relasjon
K106573,K126848,husstand
K102029,K101813,husstand
K108359,K105797,medlaantaker
K133745,K117712,husstand
K101743,K111437,husstand
K111884,K131225,husstand
K107162,K108191,husstand
K118092,K108521,husstand
K100259,K104708,husstand
K130581,K115105,husstand
K120697,K113929,husstand
K136980,K119279,husstand
K112131,K124320,husstand
K132355,K121068,medlaantaker
K109763,K135454,husstand
K117465,K103801,husstand
K127527,K107625,husstand
K130026,K130750,husstand
K105576,K134259,husstand
K123944,K125413,husstand
K106988,K130493,husstand
K100114,K134867,husstand
K133811,K107381,husstand
K133357,K102277,husstand
K122844,K107965,husstand
K108357,K120335,medlaantaker
K116505,K105776,medlaantaker
K136254,K110516,medlaantaker
K120535,K121455,husstand
K109910,K107941,husstand
K104733,K118758,husstand
K135148,K119942,husstand
K119989,K132109,husstand
K124428,K115523,medlaantaker
K134998,K105963,husstand
K104234,K132973,husstand
K114978,K139869,husstand
K139175,K107455,husstand
K132747,K112531,medlaantaker
K113856,K127941,husstand
K136929,K135426,husstand
K132487,K131285,husstand
K133670,K110646,husstand
K129739,K128655,husstand
K112958,K109135,medlaantaker
K132402,K100601,husstand
K128694,K110811,husstand
K115051,K126598,medlaantaker
K130807,K132373,medlaantaker
K113923,K119340,husstand
K118175,K138263,medlaantaker
K120467,K128970,husstand
K121766,K134018,husstand
K125428,K132979,husstand
K123040,K104339,husstand
K119875,K137477,husstand
K130725,K113233,husstand
K138756,K134452,husstand
K134835,K109721,medlaantaker
K135420,K118995,husstand
K108743,K139608,medlaantaker
K107481,K131099,medlaantaker
K119252,K127002,medlaantaker
K131420,K127581,husstand
K121770,K128825,husstand
K114696,K112817,husstand
K110553,K114695,husstand
K137602,K103873,husstand
K111565,K128540,husstand
K100807,K134301,husstand
K119758,K137993,husstand
K116291,K130980,husstand
K101599,K114083,husstand
K128258,K137468,husstand
K106537,K137382,husstand
K125969,K127340,husstand
K130148,K138226,husstand
K133279,K106346,husstand
K135537,K117623,husstand
K136753,K129231,husstand
K129635,K102458,husstand
K103081,K118797,husstand
K129749,K109576,medlaantaker
K134231,K115030,medlaantaker
K124845,K121853,medlaantaker
K134569,K130343,medlaantaker
K137626,K115849,husstand
K104314,K103469,husstand
K116484,K124595,husstand
K139199,K119324,husstand
K105731,K111619,medlaantaker
K130782,K129899,husstand
K134936,K113690,husstand
K120840,K131442,husstand
K100748,K123813,husstand
K133698,K109159,husstand
K114606,K100771,husstand
K137709,K123044,medlaantaker
K115598,K104580,husstand
K133953,K127138,medlaantaker
K107327,K131456,husstand
K106447,K107499,husstand
K114627,K126136,medlaantaker
K110206,K111115,medlaantaker
K122734,K137154,husstand
K118971,K126360,husstand
K125216,K132986,medlaantaker
K114560,K134277,husstand
K114455,K137283,medlaantaker
K123281,K100098,husstand
K107633,K134957,husstand
K133004,K117139,husstand
K124963,K131326,husstand
K106770,K123893,medlaantaker
K119221,K123628,husstand
K127796,K126599,husstand
K118882,K115070,husstand
K103443,K131490,husstand
K120534,K111882,husstand
K122066,K132864,husstand
K126746,K123750,husstand
K100830,K136317,husstand
K129020,K109158,medlaantaker
K106890,K112467,husstand
K106826,K102215,husstand
K100836,K121967,husstand
K112126,K117072,husstand
K134773,K127071,husstand
K125134,K131595,husstand
K102962,K119055,husstand
K112093,K134731,medlaantaker
K129936,K123193,husstand
K138149,K119418,husstand
K131401,K108003,husstand
K109656,K127553,medlaantaker
K103263,K125032,husstand
K117763,K120451,husstand
K120728,K101489,husstand
K124425,K128526,husstand
K104592,K104519,husstand
K102713,K119945,husstand
K110749,K134091,husstand
K136269,K121270,medlaantaker
K123591,K106047,husstand
K107188,K131427,medlaantaker
K125941,K125966,husstand
K128286,K120513,husstand
K138232,K105270,husstand
K108520,K129612,husstand
K114616,K114634,husstand
K127284,K101890,medlaantaker
K102365,K124055,husstand
K120173,K132486,husstand
K139544,K104432,medlaantaker
K105822,K139538,husstand
K124358,K136821,husstand
K120265,K112633,medlaantaker
K132131,K115028,husstand
K134210,K104731,husstand
K117100,K131217,husstand
K115827,K108498,medlaantaker
K119360,K106605,husstand
K137325,K136439,husstand
K108699,K118847,husstand
K137316,K101356,husstand
K129734,K124930,husstand
K128140,K114507,husstand
K108770,K135018,husstand
K116835,K124494,husstand
K107405,K110367,husstand
K102740,K131325,husstand
K106798,K101157,husstand
K115698,K110361,husstand
K128167,K116233,husstand
K109050,K132837,husstand
K107803,K137177,husstand
K105404,K120177,husstand
K127460,K113945,husstand
K137080,K108957,husstand
K118638,K131207,husstand
K113208,K130186,husstand
K108029,K132306,husstand
K109830,K126254,husstand
K134002,K118062,husstand
K133193,K134388,husstand
K113976,K130163,husstand
K109922,K100228,medlaantaker
K107450,K129460,husstand
K128892,K108195,husstand
K132782,K120059,medlaantaker
K122237,K114843,husstand
K120129,K130122,medlaantaker
K125768,K133282,husstand
K121794,K124665,husstand
K115791,K114087,husstand
K116028,K108494,medlaantaker
K106186,K134821,husstand
K111941,K121407,husstand
K111000,K130051,husstand
K104897,K104522,husstand
K103020,K117063,husstand
K103278,K117053,husstand
K100950,K128143,medlaantaker
K103949,K111709,medlaantaker
K108811,K115109,husstand
K111257,K136016,husstand
K137421,K102055,husstand
K118545,K117911,husstand
K128236,K109036,medlaantaker
K112359,K130695,medlaantaker
K114892,K134415,husstand
K110166,K132539,medlaantaker
K124477,K125275,husstand
K120864,K112163,husstand
K103462,K109589,husstand
K124029,K124513,husstand
K108475,K131774,medlaantaker
K102828,K135902,medlaantaker
K120342,K112104,husstand
K133552,K106012,medlaantaker
K126989,K114798,husstand
K101533,K113981,medlaantaker
K105835,K102883,husstand
K111469,K107441,medlaantaker
K118221,K136923,husstand
K129284,K130549,husstand
K106746,K118609,husstand
K133425,K121313,husstand
K122229,K122170,husstand
K127308,K115146,husstand
K120223,K131362,husstand
K102609,K130801,husstand
K122026,K101259,husstand
K121868,K128104,medlaantaker
K100143,K107075,husstand
K133430,K139425,medlaantaker
K110158,K123583,medlaantaker
K109008,K115380,husstand
K124148,K111954,husstand
K132689,K121402,husstand
K124909,K130936,husstand
K112445,K105328,husstand
K110942,K110296,husstand
K137230,K139572,husstand
K103475,K133295,husstand
K137753,K111289,husstand
K130705,K125697,husstand
K118063,K125827,husstand
K138074,K115590,husstand
K113531,K106341,husstand
K111919,K119385,medlaantaker
K130616,K108911,husstand
K129755,K118303,husstand
K125335,K106483,husstand
K108841,K128714,husstand
K109364,K134820,husstand
K124256,K135773,husstand
K133917,K120685,husstand
K135076,K130432,husstand
K104952,K120762,husstand
K135517,K112029,husstand
K126902,K132241,husstand
K139307,K138400,husstand
K125461,K137256,husstand
K138851,K139799,husstand
K106191,K137770,medlaantaker
K110416,K130508,husstand
K124563,K102701,husstand
K113261,K123616,husstand
K106621,K105614,husstand
K129228,K126291,husstand
K130823,K113730,husstand
K121611,K122970,husstand
K127687,K109550,husstand
K119866,K127091,medlaantaker
K137383,K103855,medlaantaker
K129353,K134934,husstand
K111975,K128213,husstand
K111898,K139805,husstand
K114023,K139795,husstand
K108956,K101686,husstand
K139576,K110953,medlaantaker
K131068,K104680,husstand
K113980,K128338,husstand
K126968,K133748,husstand
K101840,K120236,husstand
K107239,K104347,husstand
K118852,K123797,husstand
K101057,K117196,husstand
K133497,K134459,husstand
K130081,K113597,husstand
K106418,K125091,husstand
K110294,K121507,husstand
K103153,K108011,husstand
K129418,K132876,husstand
K122948,K109617,husstand
K104287,K108260,husstand
K121343,K139336,husstand
K105894,K116434,husstand
K125054,K101238,husstand
K105203,K130609,medlaantaker
K122309,K130097,husstand
K127318,K122596,husstand
K111363,K135333,husstand
K139288,K127808,husstand
K133902,K102776,medlaantaker
K116074,K130205,husstand
K100251,K115196,husstand
K101777,K109499,medlaantaker
K102858,K112562,husstand
K124152,K121380,husstand
K124225,K119949,husstand
K106408,K119692,husstand
K121185,K122136,husstand
K129712,K102355,husstand
K121122,K128520,husstand
K133901,K126070,medlaantaker
K105816,K109037,husstand
K108363,K117118,husstand
K131533,K127341,husstand
K129363,K139566,medlaantaker
K123903,K108136,husstand
K120272,K104158,husstand
K114244,K137038,husstand
K139213,K128467,husstand
K138672,K124122,husstand
K107101,K116203,husstand
K120819,K126568,husstand
K106489,K110577,husstand
K125833,K130110,husstand
K137207,K134737,medlaantaker
K116377,K100974,husstand
K117520,K135875,husstand
K129124,K133114,medlaantaker
K130570,K104929,medlaantaker
K134165,K119953,husstand
K139186,K125755,medlaantaker
K116099,K108257,husstand
K117009,K111433,medlaantaker
K103521,K137041,husstand
K110187,K112231,medlaantaker
K115591,K121232,medlaantaker
K115900,K138478,medlaantaker
K116442,K105736,husstand
K127008,K104930,husstand
K107038,K125255,medlaantaker
K128722,K137437,husstand
K120868,K114027,medlaantaker
K135372,K119053,husstand
K100522,K112552,husstand
K103353,K132485,husstand
K116209,K117040,husstand
K135877,K138625,husstand
K106179,K136378,husstand
K123039,K125903,medlaantaker
K122112,K114748,medlaantaker
K114100,K128623,husstand
K110894,K116182,husstand
K116963,K128193,husstand
K109241,K133037,husstand
K128025,K125751,husstand
K111616,K129856,medlaantaker
K136203,K118431,medlaantaker
K131451,K109519,husstand
K139172,K128857,husstand
K109194,K129199,husstand
K105162,K128432,medlaantaker
K139873,K115295,husstand
K107217,K117821,husstand
K114268,K113417,husstand
K102036,K114081,medlaantaker
K134222,K109904,husstand
K122670,K131024,husstand
K137894,K124091,medlaantaker
K120948,K126762,husstand
K123413,K119201,husstand
K109793,K125727,husstand
K132422,K136831,husstand
K138062,K139864,husstand
K117741,K108167,husstand
K118909,K135261,husstand
K116042,K125282,husstand
K105455,K118414,husstand
K125474,K108081,husstand
K110862,K132437,medlaantaker
K109250,K139410,husstand
K129264,K120640,husstand
K134196,K133997,husstand
K104913,K135149,husstand
K101467,K134714,husstand
K128932,K127560,husstand
K106349,K124303,husstand
K101807,K119913,husstand
K123209,K131076,husstand
K133910,K134101,husstand
K123326,K137456,husstand
K115546,K133212,medlaantaker
K101099,K100096,husstand
K114251,K101786,husstand
K130738,K134750,husstand
K124206,K103245,husstand
K112649,K104559,husstand
K117940,K116139,husstand
K138350,K115558,husstand
K111320,K137377,husstand
K108308,K133863,husstand
K138547,K101944,husstand
K130078,K100579,husstand
K104453,K126559,husstand
K130536,K131301,husstand
K136693,K108869,husstand
K106494,K128483,medlaantaker
K123572,K102257,husstand
K135980,K108619,medlaantaker
K134281,K131266,husstand
K110537,K128936,husstand
K135747,K103545,husstand
K120441,K121208,medlaantaker
K137531,K121415,husstand
K117796,K104501,husstand
K110035,K102825,husstand
K108005,K120213,husstand
K130249,K128033,medlaantaker
K118538,K131294,husstand
K116647,K137944,husstand
K130537,K101776,medlaantaker
K138725,K112945,husstand
K135882,K124440,husstand
K105380,K137562,medlaantaker
K129775,K138624,husstand
K112364,K130145,husstand
K124061,K102618,husstand
K134823,K115124,husstand
K132464,K122314,husstand
K108103,K115488,husstand
K111275,K132435,husstand
K119189,K124748,medlaantaker
K111707,K133765,husstand
K123016,K110144,husstand
K113077,K105147,medlaantaker
K116224,K117377,husstand
K134539,K117006,husstand
K135754,K128717,husstand
K117861,K104844,husstand
K100943,K125812,husstand
K135045,K121665,husstand
K100331,K131491,husstand
K122161,K124047,husstand
K127237,K122728,husstand
K130586,K122027,husstand
K111391,K128951,husstand
K101150,K131786,medlaantaker
K109280,K121440,husstand
K101857,K139081,husstand
K119435,K137577,husstand
K108187,K121372,medlaantaker
K128924,K135435,husstand
K132690,K126945,husstand
K121644,K129790,husstand
K123674,K126492,husstand
K119137,K103260,husstand
K112010,K101783,husstand
K132122,K117689,husstand
K113328,K100553,husstand
K114592,K116523,husstand
K101607,K134402,husstand
K113467,K112983,husstand
K127140,K133954,husstand
K101253,K121880,husstand
K108633,K131575,medlaantaker
K112047,K131756,husstand
K130086,K132270,husstand
K137033,K116107,medlaantaker
K133686,K107300,husstand
K138282,K107949,husstand
K135850,K121722,husstand
K119791,K118131,medlaantaker
K102979,K115513,husstand
K132677,K102955,medlaantaker
K120478,K117396,husstand
K109221,K121663,husstand
K102666,K100320,husstand
K116293,K133798,medlaantaker
K121785,K138721,husstand
K131965,K137328,husstand
K109654,K130204,husstand
K113312,K125881,husstand
K114287,K119596,husstand
K116774,K125544,husstand
K127199,K107424,husstand
K103361,K124527,medlaantaker
K139100,K109845,husstand
K128042,K119250,husstand
K131765,K126443,husstand
K125072,K101579,husstand
K119563,K134289,medlaantaker
K114741,K122784,medlaantaker
K123846,K135196,husstand
K138819,K137705,husstand
K139284,K125084,husstand
K124550,K108867,husstand
K136164,K101362,husstand
K135659,K133225,medlaantaker
K111507,K132745,husstand
K124297,K102425,husstand
K122396,K104051,medlaantaker
K113038,K128774,husstand
K139969,K103736,medlaantaker
K101011,K111620,medlaantaker
K134258,K122345,husstand
K109916,K121271,husstand
K119228,K138383,husstand
K133606,K113213,husstand
K139384,K105668,husstand
K122611,K104077,husstand
K119518,K135694,husstand
K103992,K137301,husstand
K109536,K104159,husstand
K108701,K105022,husstand
K107774,K104356,husstand
K134976,K120358,husstand
K108496,K123118,husstand
K120816,K122043,husstand
K126997,K121178,husstand
K111840,K126757,husstand
K122958,K115833,husstand
K103880,K116985,husstand
K127437,K102769,husstand
K135785,K106886,husstand
K115880,K130376,medlaantaker
K110566,K114077,medlaantaker
K111303,K133380,medlaantaker
K131791,K132567,husstand
K123595,K112150,husstand
K125766,K122754,husstand
K122963,K100079,husstand
K124826,K106001,husstand
K118470,K123525,medlaantaker
K134006,K121028,husstand
K132784,K125700,husstand
K121359,K109575,husstand
K114743,K127153,husstand
K109297,K101162,medlaantaker
K129244,K114174,husstand
K129685,K113157,husstand
K125908,K122797,husstand
K128026,K136331,husstand
K119961,K132473,husstand
K126251,K108079,husstand
K100043,K138633,husstand
K116212,K134578,husstand
K122873,K139239,husstand
K122186,K108721,medlaantaker
K121112,K123445,husstand
K116640,K103393,husstand
K109570,K103875,medlaantaker
K114119,K108071,medlaantaker
K101676,K133804,husstand
K120664,K131219,husstand
K115885,K114042,husstand
K116450,K108714,husstand
K136132,K135558,husstand
K123303,K117498,medlaantaker
K128545,K131554,husstand
K136171,K132781,husstand
K127137,K113724,husstand
K101116,K125152,husstand
K109184,K119528,husstand
K114724,K128759,husstand
K100353,K102433,husstand
K117394,K109035,husstand
K127174,K124570,husstand
K114022,K104490,husstand
K129766,K104210,husstand
K129631,K113235,medlaantaker
K117391,K110072,husstand
K138971,K114247,medlaantaker
K101210,K112452,medlaantaker
K119776,K136552,husstand
K107307,K131254,husstand
K125142,K139581,husstand
K108198,K131863,husstand
K114508,K101886,husstand
K103296,K125386,husstand
K127847,K124640,husstand
K129290,K103568,husstand
K103322,K111046,husstand
K130610,K133575,medlaantaker
K115802,K120151,husstand
K111985,K120672,husstand
K121318,K124432,medlaantaker
K122494,K122006,husstand
K103053,K110091,husstand
K103132,K106157,husstand
K100863,K102174,husstand
K127260,K126981,husstand
K108573,K116106,husstand
K126324,K120618,husstand
K132975,K111341,medlaantaker
K101915,K135128,husstand
K129391,K112508,medlaantaker
K123550,K122763,husstand
K119911,K119349,medlaantaker
K135186,K132161,husstand
K106181,K115312,husstand
K135384,K129778,medlaantaker
K116036,K106531,husstand
K130438,K131290,husstand
K103271,K112586,medlaantaker
K115986,K105359,medlaantaker
K126711,K121491,husstand
K114424,K135459,husstand
K100564,K119110,husstand
K124859,K119448,husstand
K122875,K135652,medlaantaker
K101101,K113436,medlaantaker
K132181,K125701,husstand
K125472,K120306,husstand
K122230,K110375,husstand
K139211,K105967,medlaantaker
K126115,K123046,medlaantaker
K135210,K127329,husstand
K133885,K120256,husstand
K116175,K136550,husstand
K103863,K119298,medlaantaker
K111351,K105919,medlaantaker
K132314,K100501,husstand
K111150,K118042,husstand
K137788,K116215,husstand
K111611,K106304,husstand
K120095,K130864,husstand
K136529,K124673,husstand
K135723,K133211,husstand
K119304,K135291,husstand
K114062,K116125,medlaantaker
K107028,K132726,husstand
K109846,K119136,medlaantaker
K131280,K107761,husstand
K132718,K125378,husstand
K110123,K112814,husstand
K129397,K136428,husstand
K123280,K105291,husstand
K106287,K103975,husstand
K121997,K137927,husstand
K112673,K136145,medlaantaker
K123941,K120002,husstand
K100438,K130950,husstand
K139274,K121078,husstand
K138923,K104081,medlaantaker
K136182,K136276,husstand
K115079,K101135,husstand
K139229,K109323,husstand
K100942,K119605,medlaantaker
K117906,K136850,medlaantaker
K105261,K106908,husstand
K134552,K127565,husstand
K139540,K121548,husstand
K102520,K116872,husstand
K118940,K130518,husstand
K137888,K115977,husstand
K124637,K113173,husstand
K105901,K124860,husstand
K133787,K102121,husstand
K132947,K129837,medlaantaker
K139347,K113014,medlaantaker
K118148,K103797,medlaantaker
K105399,K135266,husstand
K139838,K109019,husstand
K122525,K104392,medlaantaker
K108107,K139465,husstand
K100964,K106922,husstand
K118421,K125475,husstand
K130198,K120791,husstand
K110120,K121763,husstand
K129900,K130439,medlaantaker
K136835,K107921,husstand
K114864,K122019,medlaantaker
K130318,K117336,husstand
K132417,K124776,husstand
K139421,K101424,husstand
K138857,K133505,medlaantaker
K115098,K134494,husstand
K104463,K139618,husstand
K113634,K123543,husstand
K100753,K127038,husstand
K112335,K119914,husstand
K102412,K131165,husstand
K121412,K134247,husstand
K131890,K139503,medlaantaker
K113200,K134804,husstand
K136618,K109882,medlaantaker
K137350,K138718,husstand
K128929,K122587,husstand
K114737,K107900,husstand
K115348,K100662,husstand
K132170,K131469,husstand
K138937,K128828,medlaantaker
K137057,K101495,husstand
K102702,K118676,medlaantaker
K135643,K133421,husstand
K111618,K119038,husstand
K118136,K137699,husstand
K131938,K129898,husstand
K115888,K118193,husstand
K103176,K119726,husstand
K124841,K106017,medlaantaker
K133451,K113259,husstand
K127020,K113630,husstand
K108222,K113495,husstand
K115123,K131820,husstand
K109828,K110220,husstand
K122205,K116511,husstand
K125717,K127183,husstand
K127806,K121103,medlaantaker
K117364,K104236,husstand
K116884,K106545,husstand
K127604,K124496,husstand
K100046,K134951,husstand
K124962,K118057,husstand
K106235,K119730,husstand
K103496,K129260,medlaantaker
K105980,K130697,husstand
K106153,K116776,medlaantaker
K123218,K112469,husstand
K135879,K127355,husstand
K124839,K119809,husstand
K107203,K122792,medlaantaker
K109175,K128402,husstand
K136685,K122713,husstand
K126971,K110948,husstand
K126117,K123520,husstand
K134531,K124884,husstand
K105368,K114775,husstand
K115239,K115137,medlaantaker
K130274,K108880,husstand
K104484,K134970,husstand
K133494,K133387,husstand
K113972,K101218,husstand
K129314,K136974,husstand
K139597,K110208,husstand
K128071,K113919,medlaantaker
K100387,K110471,husstand
K135270,K102362,husstand
K133133,K117419,husstand
K130475,K123116,husstand
K104426,K135248,medlaantaker
K136162,K103186,husstand
K109292,K118748,husstand
K113030,K135172,husstand
K117722,K101196,medlaantaker
K127231,K135028,husstand
K130446,K134368,medlaantaker
K105409,K129251,husstand
K122711,K112620,husstand
K130142,K123749,husstand
K129632,K103822,medlaantaker
K108519,K109139,medlaantaker
K115415,K107790,husstand
K126593,K131380,husstand
K119005,K116654,husstand
K109601,K117711,husstand
K108756,K138726,medlaantaker
K128473,K118372,husstand
K137614,K102503,husstand
K123444,K121604,husstand
K110760,K139954,husstand
K134421,K119352,husstand
K102554,K138925,husstand
K126263,K116506,husstand
K107220,K131460,medlaantaker
K122242,K100797,medlaantaker
K111267,K121508,husstand
K120565,K106054,husstand
K118625,K105805,husstand
K104988,K101791,husstand
K102499,K116351,husstand
K119867,K117231,husstand
K127036,K126478,medlaantaker
K115237,K116292,husstand
K122562,K120097,husstand
K133326,K102511,husstand
K113889,K121135,husstand
K137067,K101287,husstand
K109905,K106918,husstand
K123534,K130513,husstand
K123931,K126094,husstand
K131819,K113416,husstand
K104608,K124356,medlaantaker
K100295,K131953,medlaantaker
K123233,K118941,husstand
K135674,K103927,medlaantaker
K127519,K131036,medlaantaker
K137169,K120139,medlaantaker
K135203,K109007,husstand
K135620,K118860,husstand
K106779,K118306,husstand
K107860,K131963,medlaantaker
K116073,K116610,husstand
K103139,K117506,husstand
K111595,K125886,husstand
K104049,K111409,husstand
K125177,K138419,husstand
K133477,K131982,husstand
K121781,K112287,husstand
K133228,K135007,husstand
K118013,K134430,husstand
K137241,K112208,husstand
K130394,K126292,husstand
K106140,K117503,husstand
K135339,K109419,husstand
K101528,K125572,husstand
K126649,K116037,husstand
K126542,K104447,husstand
K130563,K135493,husstand
K120074,K130302,husstand
K109645,K104995,husstand
K112501,K105829,husstand
K116267,K111811,husstand
K105780,K114199,husstand
K131383,K121715,husstand
K113859,K100372,medlaantaker
K108069,K104491,husstand
K132542,K136008,husstand
K133812,K132755,husstand
K120453,K129458,husstand
K102707,K116425,husstand
K109333,K114419,husstand
K128308,K127324,husstand
K136014,K139801,husstand
K101691,K123072,husstand
K128680,K117872,husstand
K118929,K112326,medlaantaker
K112714,K119514,husstand
K139774,K104744,husstand
K123301,K137446,husstand
K103566,K118624,husstand
K125273,K120740,husstand
K116322,K136641,husstand
K128094,K134684,medlaantaker
K131445,K118561,husstand
K103188,K129548,husstand
K125297,K136112,medlaantaker
K103122,K125628,husstand
K112981,K131759,medlaantaker
K139460,K138357,husstand
K137495,K138761,husstand
K115534,K134094,husstand
K138808,K115293,husstand
K107590,K111053,husstand
K128293,K126860,medlaantaker
K134808,K133202,husstand
K122940,K132077,medlaantaker
K110768,K115906,husstand
K113362,K118841,husstand
K126950,K106992,husstand
K121013,K130941,husstand
K115487,K129875,husstand
K122385,K131035,medlaantaker
K120575,K111910,husstand
K130151,K125283,medlaantaker
K120312,K110993,husstand
K113168,K109317,medlaantaker
K125193,K122346,husstand
K123047,K104789,medlaantaker
K114607,K132607,husstand
K117997,K116390,medlaantaker
K104434,K120426,husstand
K103287,K129467,medlaantaker
K136049,K137479,husstand
K123515,K130912,husstand
K101527,K138592,medlaantaker
K105726,K124900,medlaantaker
K100324,K134534,husstand
K115104,K131475,husstand
K126377,K100284,husstand
K114871,K115040,husstand
K118334,K117659,husstand
K136819,K119691,husstand
K119768,K138910,husstand
K128040,K101521,husstand
K118222,K106024,husstand
K121751,K115762,husstand
K115043,K131239,husstand
K135992,K138043,husstand
K101613,K111108,medlaantaker
K127976,K139143,husstand
K114315,K121654,husstand
K129235,K116300,medlaantaker
K133079,K109581,medlaantaker
K136873,K131703,husstand
K122975,K111998,husstand
K127365,K103657,husstand
K131289,K117931,husstand
K122828,K132261,medlaantaker
K122372,K108609,medlaantaker
K138539,K117489,husstand
K110707,K138591,husstand
K110951,K103929,husstand
K138801,K115808,husstand
K119610,K129424,husstand
K107999,K116054,husstand
K120227,K118128,medlaantaker
K104013,K129375,husstand
K139349,K119333,husstand
K136770,K136353,medlaantaker
K124490,K127777,husstand
K114547,K117512,medlaantaker
K123665,K120045,husstand
K116367,K113052,husstand
K106004,K115011,husstand
K136101,K126903,husstand
K130507,K110972,medlaantaker
K133570,K106705,husstand
K105390,K120659,husstand
K131393,K123249,husstand
K107512,K130200,medlaantaker
K114984,K133127,husstand
K130412,K117891,husstand
K110355,K116323,husstand
K135391,K122500,husstand
K137604,K119160,husstand
K139435,K130331,medlaantaker
K103704,K136985,husstand
K128091,K115081,husstand
K109825,K132313,husstand
K131240,K117729,husstand
K119877,K119363,husstand
K100469,K101896,husstand
K104298,K121923,husstand
K139729,K137223,medlaantaker
K102407,K123669,husstand
K111562,K136780,husstand
K136954,K120732,husstand
K132610,K129382,husstand
K122856,K115205,husstand
K101066,K139377,husstand
K136148,K136878,husstand
K133063,K136833,husstand
K100880,K113814,medlaantaker
K105839,K106864,husstand
K113623,K124100,husstand
K138886,K114288,husstand
K115304,K124163,husstand
K135379,K139988,husstand
K107060,K111745,husstand
K133524,K116598,husstand
K136804,K137831,husstand
K108434,K101596,husstand
K127414,K123189,medlaantaker
K135988,K116339,husstand
K113255,K107013,husstand
K119732,K103743,medlaantaker
K104259,K102416,husstand
K126015,K114949,husstand
K120245,K127424,husstand
K103622,K126521,husstand
K105644,K121623,husstand
K133794,K106460,husstand
K125012,K128339,husstand
K127189,K126531,husstand
K103673,K115603,husstand
K128851,K101618,husstand
K134588,K139982,medlaantaker
K136756,K128252,husstand
K110274,K107237,husstand
K133093,K103800,husstand
K102882,K124680,husstand
K124769,K101769,husstand
K100015,K114303,husstand
K139559,K112867,husstand
K125639,K138242,husstand
K119556,K118171,husstand
K100496,K119378,husstand
K100926,K138926,husstand
K139490,K131208,medlaantaker
K127190,K119124,husstand
K108034,K115897,medlaantaker
K102312,K111887,husstand
K116836,K107206,husstand
K120529,K134862,medlaantaker
K127172,K126038,husstand
K101000,K128342,husstand
K123211,K126199,husstand
K115310,K124387,husstand
K136844,K118163,medlaantaker
K122380,K116998,husstand
K107053,K135289,husstand
K118344,K122124,medlaantaker
K123694,K115893,husstand
K126970,K114180,husstand
K103408,K116273,medlaantaker
K104046,K135972,husstand
K102604,K100162,medlaantaker
K110222,K123467,husstand
K110226,K124276,husstand
K109671,K137947,husstand
K118466,K129908,husstand
K113136,K117433,medlaantaker
K123732,K134795,husstand
K121621,K135088,husstand
K132993,K126101,husstand
K109801,K110125,husstand
K122990,K138939,husstand
K110847,K105322,husstand
K103208,K102516,husstand
