kunde_id;alder;fylke;kundeforhold_aar;antall_produkter;antall_produkter_naa;har_kundeprogram;laanebalanse;rente_boliglaan;innskudd;raadgiversamtaler_12mnd;avslutningsgebyr;avgang_6mnd
K116421;33,0;Agder;1,4;5;4;0;2930000,0;5,69;404800,0;0;900,0;1
K112351;42,0;Vestfold;3,3;5;5;JA;977000,0;5,75;87800,0;0;;0
K126960;35,0;Rogaland;6,3;5;5;1;912000,0;5,88;69200,0;0;;0
K122092;47,0;Rogaland;17,5;3;2;1;1831000,0;5,85;340800,0;0;;0
K128670;54,0;Agder;0,3;1;1;Ja;1521000,0;5,94;73100,0;1;;0
K126898;60,0;Telemark;2,7;5;5;Nei;0,0;;22600,0;1;;0
K100890;33,0;Vestland;4,3;4;5;nei;1460000,0;5,84;262100,0;1;;0
K111715;37,0;Agder;31,2;2;2;JA;5444000,0;5,48;1278700,0;0;;0
K109359;38,0;Telemark;0,2;3;3;Ja;1609000,0;5,21;15100,0;0;;0
K137363;18,0;Vestland;12,4;4;4;JA;2946000,0;5,38;88300,0;0;;0
K129093;45,0;Rogaland;1,3;2;2;Nei;1235000,0;5,72;46200,0;0;;0
K101383;43,0;Vestland;0,2;2;2;1;1220000,0;5,23;97500,0;1;;0
K129710;70,0;Rogaland;4,6;4;4;0;0,0;;237000,0;1;;0
K135851;44,0;Vestfold;1,0;4;4;JA;1352000,0;5,5;96000,0;0;;0
K125355;64,0;Oslo;25,0;7;7;Nei;5703000,0;6,16;352600,0;0;;0
K122422;38,0;Vestfold;1,1;4;4;Ja;1596000,0;5,81;64700,0;0;;0
K124354;64,0;Rogaland;14,3;4;4;ja;9006000,0;5,22;102100,0;0;;0
K121511;34,0;Rogaland;16,1;3;2;1;1400000,0;5,76;45600,0;1;;0
K133404;75,0;Vestfold;4,8;3;3;ja;0,0;;63000,0;1;;0
K116463;27,0;Rogaland;3,0;2;0;0;1570000,0;5,0;594600,0;1;1537,0;1
K118567;24,0;Telemark;2,3;4;4;JA;3659000,0;5,23;146000,0;0;;0
K132733;63,0;Rogaland;2,7;3;3;ja;0,0;;14000,0;1;;0
K113130;47,0;Vestfold;3,4;2;2;0;2220000,0;5,99;129500,0;0;684,0;1
K134101;;Vestfold;8,5;3;3;JA;2043000,0;5,91;41000,0;0;;0
K119564;25,0;Rogaland;4,8;2;1;1;1178000,0;5,24;40400,0;2;;0
K114117;44,0;Rogaland;6,8;1;1;ja;0,0;;46800,0;0;;0
K133572;83,0;Vestfold;2,9;3;3;Ja;1898000,0;4,92;76300,0;0;;0
K106091;25,0;Vestfold;4,1;5;5;JA;968000,0;5,36;93300,0;0;;0
K116797;53,0;Rogaland;4,9;3;4;Nei;0,0;;98700,0;1;;0
K120927;;Agder;1,9;1;1;Ja;0,0;;206200,0;1;;0
K113953;35,0;Telemark;2,5;5;5;nei;3995000,0;4,7;102200,0;0;;0
K115454;67,0;Rogaland;1,7;5;5;1;2435000,0;5,77;840000,0;0;;0
K103201;65,0;Oslo;33,9;1;1;JA;2815000,0;5,54;13700,0;0;;0
K111633;49,0;Agder;3,8;4;4;Ja;1726000,0;5,95;77900,0;0;;0
K122526;47,0;Vestfold;0,2;2;2;nei;0,0;;244100,0;1;;0
K109132;39,0;Agder;3,7;2;2;JA;2068000,0;5,43;81100,0;1;;0
K131896;69,0;Vestland;12,4;4;4;Nei;0,0;;39400,0;0;;0
K123146;;Agder;0,3;2;2;0;1801000,0;5,43;485800,0;0;;0
K115266;46,0;Vestland;5,8;1;0;JA;1301000,0;5,36;16200,0;0;1367,0;1
K102109;;Telemark;5,8;1;2;0;0,0;;58500,0;0;;0
K128669;29,0;Vestfold;10,4;4;4;Ja;2280000,0;5,53;692600,0;0;;0
K107181;51,0;Vestfold;3,8;5;5;JA;1486000,0;5,13;12600,0;2;;0
K121169;41,0;Rogaland;6,1;7;6;0;5485000,0;5,2;43600,0;0;;0
K132788;55,0;Vestfold;9,3;3;2;Nei;1696000,0;5,7;71200,0;1;;0
K128820;;Agder;3,4;3;3;Ja;1409000,0;5,58;485000,0;1;;0
K133647;57,0;Vestfold;20,1;4;4;Nei;3249000,0;5,02;1836200,0;0;;0
K108431;49,0;Rogaland;8,9;3;3;Ja;1119000,0;5,05;186300,0;1;;0
K134519;65,0;Oslo;27,5;5;5;JA;852000,0;5,97;36100,0;1;;0
K115541;18,0;Rogaland;3,3;3;3;0;2848000,0;5,63;87000,0;0;;0
K101707;50,0;Rogaland;35,9;3;4;Nei;0,0;;61900,0;0;;0
K119599;55,0;Vestfold;27,2;1;0;0;0,0;;12600,0;1;1014,0;1
K121883;18,0;Rogaland;8,3;4;4;Ja;0,0;;161700,0;0;;0
K127595;33,0;Rogaland;16,2;6;6;ja;2823000,0;5,61;87700,0;1;;0
K122149;43,0;Oslo;25,3;5;5;nei;1271000,0;5,66;135300,0;0;;0
K138718;47,0;Vestfold;17,9;3;3;1;4116000,0;5,2;162300,0;2;;0
K114593;24,0;Vestfold;8,4;4;3;nei;0,0;;14700,0;1;1313,0;1
K136157;33,0;Agder;1,3;4;4;ja;0,0;;555200,0;2;;0
K110081;42,0;Oslo;0,5;1;1;1;2596000,0;5,91;104300,0;0;;0
K129438;46,0;Oslo;19,9;1;1;1;0,0;;240200,0;0;;0
K106976;55,0;Agder;2,4;5;5;JA;0,0;;107700,0;1;;0
K130329;53,0;Rogaland;5,2;4;2;Nei;1671000,0;4,92;70100,0;0;1161,0;1
K110530;64,0;Rogaland;4,4;4;4;Ja;1835000,0;5,53;328200,0;0;;0
K102744;62,0;Rogaland;12,2;5;5;JA;932000,0;4,91;114000,0;0;;0
K109410;29,0;Vestfold;8,7;4;4;0;2622000,0;5,45;407900,0;0;;0
K108111;58,0;Agder;23,3;6;6;1;0,0;;464000,0;1;;0
K126131;51,0;Vestland;11,2;3;3;1;2887000,0;5,14;25500,0;1;;0
K103571;59,0;Agder;5,6;5;5;ja;0,0;;115300,0;0;;0
K107600;50,0;Agder;2,2;6;6;Ja;0,0;;536800,0;0;;0
K135433;51,0;Rogaland;6,7;3;3;0;2850000,0;5,84;204600,0;0;;0
K102160;38,0;Oslo;28,5;3;3;nei;1864000,0;5,28;30000,0;0;;0
K111015;43,0;Oslo;0,2;3;2;Ja;0,0;;39600,0;1;;0
K118889;18,0;Rogaland;28,7;3;3;Ja;0,0;;81400,0;0;;0
K119724;26,0;Agder;5,1;2;2;ja;0,0;;107300,0;0;;0
K138110;39,0;Rogaland;11,8;1;1;Nei;1958000,0;5,13;146300,0;0;;0
K114169;29,0;Vestland;1,4;4;4;Ja;2544000,0;5,23;17700,0;1;;0
K102220;47,0;Oslo;30,3;3;2;0;0,0;;257300,0;1;;0
K110930;52,0;Oslo;12,6;5;5;JA;0,0;;188400,0;0;;0
K117902;33,0;Rogaland;6,4;5;5;nei;0,0;;132100,0;0;;0
K107933;34,0;Vestfold;15,0;2;2;ja;0,0;;458900,0;0;;0
K118722;57,0;Agder;9,8;2;2;nei;2407000,0;5,63;220600,0;0;;0
K131808;40,0;Rogaland;3,9;2;3;nei;3237000,0;5,54;169500,0;1;;0
K109215;79,0;Rogaland;4,8;4;4;ja;1295000,0;5,19;43700,0;1;;0
K139515;72,0;Rogaland;2,5;4;5;nei;1729000,0;5,82;143600,0;0;;0
K125725;80,0;Vestland;12,4;5;5;0;0,0;;262600,0;0;;0
K129963;79,0;Vestfold;12,6;2;1;nei;0,0;;53700,0;0;728,0;1
K102197;46,0;Vestland;4,4;3;3;Ja;2831000,0;5,3;114700,0;0;;0
K124668;55,0;Vestfold;7,4;3;1;0;1206000,0;5,56;247200,0;1;1456,0;1
K102414;64,0;Rogaland;1,8;7;7;1;1215000,0;5,02;45400,0;1;;0
K100329;38,0;Oslo;1,4;6;6;0;0,0;;166300,0;1;;0
K115777;43,0;Rogaland;40,0;1;1;nei;2025000,0;5,51;29800,0;0;;0
K138928;21,0;Rogaland;3,1;2;2;Ja;1835000,0;5,3;411700,0;0;;0
K119389;84,0;Agder;2,2;8;9;1;1229000,0;5,04;740900,0;0;;0
K110366;47,0;Vestfold;17,5;2;1;ja;849000,0;5,0;23300,0;0;;0
K124734;;Oslo;14,5;2;1;Nei;2721000,0;4,97;26400,0;1;;0
K105995;22,0;Vestland;6,3;5;5;Nei;2548000,0;5,72;365900,0;0;;0
K105825;54,0;Vestfold;13,9;2;2;Ja;0,0;;73900,0;1;;0
K112001;47,0;Vestland;8,1;2;2;JA;3763000,0;5,37;25800,0;0;;0
K117260;69,0;Vestfold;2,1;2;1;JA;0,0;;212400,0;0;;0
K115730;55,0;Agder;9,8;3;3;Ja;2869000,0;5,14;76100,0;0;;0
K113247;39,0;Telemark;5,7;5;4;Ja;1660000,0;5,4;15800,0;0;;0
K107322;69,0;Vestfold;40,0;5;5;ja;1441000,0;5,9;9600,0;0;;0
K136085;42,0;Oslo;4,3;4;4;ja;1363000,0;5,79;260200,0;0;;0
K109847;43,0;Rogaland;28,1;2;2;Nei;3299000,0;5,27;187500,0;0;;0
K100880;50,0;Vestfold;0,9;4;2;nei;1516000,0;5,32;327300,0;2;1531,0;1
K131031;39,0;Oslo;0,5;3;2;nei;2999000,0;5,83;263800,0;0;;0
K122779;24,0;Oslo;4,9;2;2;nei;1707000,0;5,54;43700,0;0;;0
K132422;30,0;Vestfold;6,1;9;9;0;0,0;;385400,0;0;;0
K127169;59,0;Rogaland;0,7;3;3;Nei;939000,0;4,97;436900,0;1;;0
K134123;66,0;Agder;0,9;7;6;JA;944000,0;5,49;19200,0;0;;0
K131377;;Vestland;0,3;6;6;1;0,0;;16600,0;1;;0
K126975;43,0;Rogaland;3,0;3;3;Ja;0,0;;341200,0;1;;0
K139066;21,0;Agder;6,0;1;1;nei;0,0;;76300,0;0;;0
K128722;46,0;Rogaland;18,5;3;3;JA;1718000,0;5,67;38600,0;1;;0
K131578;81,0;Vestfold;2,6;3;3;Ja;1989000,0;5,34;358800,0;1;;0
K127685;45,0;Vestfold;6,4;2;2;nei;0,0;;135600,0;0;;0
K114170;69,0;Rogaland;1,3;5;5;ja;1879000,0;6,52;241600,0;0;;0
K132727;48,0;Agder;12,6;5;5;JA;0,0;;296100,0;0;;0
K120221;30,0;Rogaland;1,7;2;2;Nei;1670000,0;5,3;174800,0;2;;0
K124727;31,0;Rogaland;7,0;4;4;0;5158000,0;5,33;25800,0;0;;0
K121177;18,0;Rogaland;9,2;1;1;JA;4189000,0;5,45;69300,0;0;;0
K131323;32,0;Telemark;7,5;6;6;ja;2116000,0;5,88;166900,0;0;;0
K102745;65,0;Agder;11,3;4;4;Ja;1873000,0;5,64;357700,0;0;;0
K109777;56,0;Rogaland;2,5;3;3;Ja;0,0;;60500,0;1;;0
K135668;21,0;Agder;4,8;3;4;Nei;0,0;;115900,0;0;;0
K106855;46,0;Vestland;22,9;3;3;ja;2072000,0;4,86;220200,0;1;;0
K116771;21,0;Vestfold;1,8;1;1;ja;8887000,0;5,14;36400,0;0;;0
K109677;58,0;Oslo;8,2;4;5;nei;0,0;;328900,0;0;;0
K124828;61,0;Rogaland;8,8;4;4;0;2089000,0;5,9;364300,0;0;;0
K122820;54,0;Vestfold;1,9;2;2;JA;1897000,0;5,37;196800,0;0;;0
K104353;23,0;Vestfold;0,2;2;2;ja;0,0;;81800,0;1;;0
K132581;24,0;Oslo;12,4;1;1;nei;0,0;;83000,0;1;;0
K135008;51,0;Vestland;11,5;4;4;ja;0,0;;64200,0;0;;0
K116095;18,0;Vestland;5,7;3;3;Ja;2614000,0;5,04;74000,0;0;;0
K123368;49,0;Vestfold;12,5;2;2;JA;2635000,0;6,04;191500,0;0;;0
K135481;78,0;Oslo;14,2;2;2;JA;0,0;;28000,0;0;;0
K138355;76,0;Oslo;0,6;4;4;Ja;2343000,0;5,69;211900,0;0;;0
K103602;24,0;Vestfold;26,1;4;4;nei;1652000,0;5,61;199400,0;0;;0
K105275;18,0;Telemark;0,4;6;6;JA;0,0;;73200,0;1;;0
K116196;47,0;Rogaland;2,8;5;5;Nei;1860000,0;5,39;116700,0;0;;0
K100288;41,0;Agder;3,3;4;4;1;816000,0;5,75;261500,0;4;;0
K132392;51,0;Rogaland;9,3;3;3;JA;0,0;;328600,0;0;;0
K120570;29,0;Agder;10,9;2;0;nei;0,0;;82700,0;1;1118,0;1
K103398;18,0;Telemark;2,2;3;4;Ja;2407000,0;6,14;102900,0;0;;0
K137146;45,0;Rogaland;5,6;2;2;0;1691000,0;4,74;54700,0;0;;0
K134976;61,0;Telemark;21,4;5;4;JA;2417000,0;5,56;102800,0;0;;0
K113917;71,0;Vestfold;10,6;1;1;nei;2444000,0;5,89;133100,0;0;;0
K108291;71,0;Vestland;1,4;2;2;ja;3506000,0;5,34;21900,0;1;;0
K119235;37,0;Agder;5,8;3;3;ja;0,0;;10800,0;1;;0
K106233;75,0;Rogaland;0,2;5;5;Ja;0,0;;226400,0;0;;0
K109626;18,0;Vestfold;6,9;3;3;nei;3107000,0;5,54;148600,0;0;;0
K106558;39,0;Agder;3,1;6;6;1;0,0;;471800,0;0;;0
K116253;50,0;Vestland;11,2;2;3;ja;1556000,0;5,53;58900,0;1;;0
K123503;26,0;Vestfold;2,3;3;3;Nei;1464000,0;5,29;51000,0;0;;0
K113502;49,0;Rogaland;7,8;3;3;JA;0,0;;148900,0;0;;0
K120418;41,0;Rogaland;2,1;2;2;Nei;1708000,0;5,24;65100,0;0;;0
K134391;50,0;Agder;11,1;5;5;0;720000,0;5,5;99000,0;0;;0
K124366;58,0;Oslo;3,4;4;2;Nei;2074000,0;6,34;173600,0;1;1090,0;1
K120336;38,0;Rogaland;10,2;2;2;Nei;1608000,0;5,38;754800,0;0;;0
K138007;27,0;Vestland;16,8;3;3;Ja;0,0;;739900,0;0;;0
K103394;55,0;Vestland;9,3;2;2;1;0,0;;11000,0;0;;0
K114356;52,0;Vestfold;1,2;2;0;Nei;1385000,0;5,16;338600,0;0;956,0;1
K125374;33,0;Oslo;20,5;2;3;ja;0,0;;110500,0;0;;0
K133049;34,0;Agder;4,0;3;1;0;0,0;;598300,0;1;830,0;1
K118250;37,0;Rogaland;6,7;5;5;nei;0,0;;94700,0;1;;0
K121240;70,0;Telemark;33,7;5;5;1;1033000,0;5,57;35400,0;0;;0
K108107;62,0;Telemark;2,1;2;0;1;1235000,0;5,08;124700,0;0;1554,0;1
K103360;45,0;Rogaland;5,7;2;2;nei;1370000,0;4,9;97300,0;0;;0
K136148;58,0;Oslo;1,3;4;4;Ja;2136000,0;5,47;232700,0;0;;0
K138603;18,0;Rogaland;17,5;1;1;Ja;1813000,0;5,08;224500,0;0;;0
K105376;46,0;Rogaland;15,6;3;3;JA;3025000,0;5,36;34400,0;0;;0
K111453;30,0;Vestland;4,9;5;5;Nei;2656000,0;5,54;930700,0;1;;0
K138549;31,0;Vestland;0,2;3;3;JA;0,0;;67500,0;0;;0
K112717;64,0;Rogaland;2,5;4;4;nei;4759000,0;5,55;166600,0;0;;0
K130092;30,0;Rogaland;7,0;3;3;JA;0,0;;17300,0;1;;0
K123278;21,0;Vestfold;1,5;4;4;Ja;4934000,0;5,61;658300,0;0;;0
K104299;43,0;Rogaland;10,6;4;4;Nei;1181000,0;5,5;48500,0;0;;0
K123943;34,0;Oslo;5,0;5;5;1;3668000,0;5,28;562100,0;1;;0
K105806;31,0;Rogaland;21,7;2;3;nei;1689000,0;5,93;55600,0;0;;0
K124176;39,0;Rogaland;5,7;4;4;ja;0,0;;335400,0;0;;0
K117735;45,0;Rogaland;0,5;1;1;JA;0,0;;184500,0;0;;0
K136196;67,0;Oslo;19,9;3;3;0;1764000,0;5,43;93300,0;0;;0
K107956;44,0;Rogaland;6,1;2;2;Nei;2357000,0;4,67;34000,0;0;;0
K113755;18,0;Telemark;7,8;2;1;Nei;1469000,0;5,55;113200,0;0;;0
K117623;64,0;Rogaland;6,8;2;0;1;0,0;;21800,0;0;1155,0;1
K127052;39,0;Agder;7,6;2;1;JA;2226000,0;5,48;45700,0;0;;0
K136167;62,0;Vestfold;15,1;2;2;nei;0,0;;92400,0;0;;0
K126331;46,0;Oslo;2,5;1;1;0;0,0;;101000,0;0;;0
K108182;53,0;Vestland;2,4;3;3;nei;4065000,0;5,16;55200,0;0;;0
K113368;68,0;Vestland;13,0;3;3;nei;1187000,0;5,72;358400,0;0;;0
K127078;22,0;Rogaland;12,5;3;4;Nei;0,0;;149900,0;0;;0
K127794;53,0;Agder;10,5;3;3;0;0,0;;24100,0;0;;0
K124626;47,0;Vestland;16,7;4;4;Nei;0,0;;52000,0;0;;0
K104964;36,0;Agder;33,1;4;4;1;0,0;;391100,0;0;;0
K102501;50,0;Rogaland;3,3;2;3;nei;1481000,0;5,81;386500,0;0;;0
K138127;;Oslo;4,2;2;2;Ja;0,0;;475600,0;2;;0
K127988;34,0;Rogaland;12,5;2;0;Nei;2026000,0;5,43;95600,0;1;1329,0;1
K129907;18,0;Vestfold;17,9;2;2;1;0,0;;35000,0;0;;0
K113327;35,0;Rogaland;4,3;3;4;nei;1588000,0;5,64;41300,0;1;;0
K127758;72,0;Telemark;3,5;2;2;0;3372000,0;4,76;58400,0;0;;0
K135088;18,0;Rogaland;12,0;9;9;0;0,0;;198300,0;1;;0
K119666;33,0;Telemark;1,1;2;2;JA;0,0;;38100,0;1;;0
K128545;49,0;Agder;4,6;3;2;nei;0,0;;37300,0;0;;0
K124877;35,0;Oslo;2,1;3;3;nei;0,0;;66300,0;0;;0
K127773;;Telemark;3,4;3;0;1;3567000,0;5,49;73000,0;0;1368,0;1
K122004;39,0;Oslo;11,4;2;2;ja;0,0;;216900,0;3;;0
K131206;66,0;Agder;1,3;3;3;Nei;3818000,0;4,95;13600,0;0;;0
K116728;50,0;Rogaland;11,3;2;2;Nei;2020000,0;5,08;171300,0;0;;0
K102895;;Rogaland;6,4;3;1;JA;6156000,0;5,45;111500,0;0;1529,0;1
K105292;51,0;Vestland;3,5;4;4;nei;1360000,0;5,74;66900,0;0;;0
K105207;30,0;Vestfold;21,2;2;3;1;0,0;;166100,0;2;;0
K135111;75,0;Telemark;1,6;6;6;1;3803000,0;5,58;74500,0;1;;0
K117452;31,0;Agder;10,7;4;4;0;1256000,0;5,3;4600,0;0;;0
K119384;30,0;Telemark;35,2;3;3;Nei;1899000,0;5,34;108300,0;1;;0
K117791;60,0;Agder;7,5;2;0;nei;1991000,0;5,16;20700,0;0;1655,0;1
K100283;53,0;Rogaland;40,0;4;4;nei;1322000,0;5,83;64700,0;0;;0
K100335;27,0;Vestfold;5,4;4;4;ja;1697000,0;5,56;183200,0;0;;0
K129483;50,0;Agder;13,1;3;3;Ja;0,0;;46500,0;0;;0
K111237;30,0;Rogaland;20,3;2;1;0;2287000,0;5,51;228900,0;0;;0
K106807;34,0;Oslo;19,2;2;2;Ja;0,0;;221600,0;0;;0
K130816;41,0;Rogaland;7,1;5;5;ja;0,0;;58200,0;1;;0
K107954;40,0;Rogaland;10,1;2;1;JA;4615000,0;5,24;232300,0;0;;0
K117456;39,0;Rogaland;5,7;3;3;JA;2559000,0;5,54;130900,0;0;;0
K125120;18,0;Vestland;1,9;4;3;1;0,0;;120300,0;0;;0
K129448;59,0;Rogaland;3,7;3;3;ja;1654000,0;4,73;113400,0;0;1014,0;1
K121523;29,0;Telemark;1,3;2;2;0;2646000,0;5,47;33800,0;0;;0
K101093;;Rogaland;3,6;2;2;JA;2534000,0;5,1;129000,0;0;;0
K131120;33,0;Vestfold;3,3;3;3;nei;1803000,0;5,03;36900,0;0;;0
K108863;28,0;Vestfold;18,4;4;4;Ja;5297000,0;5,63;81700,0;0;;0
K136740;42,0;Rogaland;11,0;3;3;nei;0,0;;326100,0;0;;0
K122529;54,0;Rogaland;8,7;3;3;nei;0,0;;39900,0;1;;0
K102146;31,0;Oslo;0,5;3;3;Ja;696000,0;5,5;104000,0;0;;0
K101854;;Telemark;1,9;3;3;JA;1804000,0;5,98;68200,0;1;;0
K139348;24,0;Vestfold;5,7;1;1;Ja;0,0;;245000,0;0;;0
K119114;;Rogaland;5,6;3;3;Ja;964000,0;5,8;258300,0;0;;0
K111370;35,0;Vestfold;7,9;1;1;ja;2329000,0;5,18;524700,0;0;;0
K122661;18,0;Oslo;21,8;2;1;0;0,0;;213600,0;0;1057,0;1
K116625;37,0;Rogaland;5,8;3;2;Ja;0,0;;44500,0;0;983,0;1
K133439;33,0;Agder;4,7;2;1;Ja;2256000,0;5,7;98100,0;1;;0
K139823;21,0;Agder;4,5;2;2;ja;0,0;;227900,0;1;;0
K122973;58,0;Rogaland;0,2;3;3;ja;0,0;;224900,0;1;;0
K134889;;Oslo;2,6;4;4;0;0,0;;71900,0;1;;0
K100156;48,0;Vestfold;4,7;1;1;nei;1728000,0;5,09;65900,0;0;1224,0;1
K136290;54,0;Vestland;2,1;4;4;ja;1996000,0;6,13;43800,0;0;;0
K100173;26,0;Vestfold;9,0;5;4;0;0,0;;95300,0;1;;0
K111573;87,0;Rogaland;2,9;5;5;JA;2230000,0;6,06;1903400,0;1;;0
K129528;62,0;Vestfold;3,2;3;3;ja;0,0;;30600,0;0;;0
K118157;41,0;Vestland;8,6;5;5;Nei;3008000,0;5,36;127700,0;1;;0
K135197;29,0;Vestfold;13,5;2;2;0;0,0;;46600,0;2;;0
K128911;43,0;Rogaland;6,2;3;3;0;0,0;;23100,0;0;;0
K126864;60,0;Telemark;1,2;3;3;nei;3456000,0;5,03;78500,0;0;;0
K124196;64,0;Vestland;0,3;5;5;ja;1924000,0;5,3;12800,0;0;;0
K112459;32,0;Vestfold;2,4;1;1;Nei;0,0;;992600,0;0;;0
K104828;67,0;Rogaland;5,2;2;2;0;2830000,0;5,65;159000,0;0;;0
K118844;64,0;Agder;4,0;3;3;1;0,0;;164600,0;0;;0
K124369;54,0;Telemark;2,5;3;3;0;956000,0;5,44;106400,0;0;;0
K137996;52,0;Telemark;3,8;5;5;nei;0,0;;50800,0;0;;0
K111255;52,0;Rogaland;6,8;1;1;JA;2378000,0;5,88;66200,0;1;;0
K112550;34,0;Rogaland;40,0;5;5;nei;0,0;;111400,0;1;;0
K112734;63,0;Rogaland;4,9;1;1;Nei;1622000,0;5,43;33300,0;0;;0
K114988;35,0;Rogaland;7,3;1;0;JA;0,0;;89500,0;0;1013,0;1
K139033;69,0;Telemark;7,5;4;4;0;0,0;;24700,0;1;;0
K109430;32,0;Vestfold;8,9;5;5;0;0,0;;37500,0;0;;0
K126669;20,0;Rogaland;2,8;2;1;1;1003000,0;5,34;52000,0;1;;0
K129832;28,0;Agder;8,4;6;5;Nei;0,0;;100300,0;0;;0
K124286;41,0;Telemark;3,6;4;4;JA;4040000,0;5,41;255700,0;1;;0
K138764;32,0;Agder;1,9;1;1;JA;0,0;;3900,0;0;;0
K102124;46,0;Agder;10,6;4;4;1;1325000,0;5,28;182600,0;0;;0
K135059;44,0;Agder;8,2;1;1;Ja;0,0;;204700,0;0;;0
K128036;;Agder;0,2;1;1;nei;1570000,0;4,79;40200,0;0;;0
K101170;28,0;Vestland;4,3;3;2;ja;1524000,0;5,52;75900,0;0;1453,0;1
K103653;58,0;Rogaland;2,0;2;2;nei;0,0;;13600,0;2;;0
K105894;46,0;Rogaland;1,7;2;3;1;1307000,0;5,87;98300,0;0;;0
K106165;55,0;Vestfold;2,6;6;6;ja;1564000,0;5,75;50500,0;1;;0
K110386;20,0;Rogaland;23,2;4;3;ja;0,0;;178400,0;0;1241,0;1
K135029;32,0;Vestfold;0,6;2;1;0;1358000,0;5,06;31300,0;0;;0
K109966;54,0;Vestland;4,3;2;2;Ja;2634000,0;5,65;312200,0;0;;0
K113152;34,0;Agder;4,1;1;1;JA;2538000,0;5,67;92500,0;0;;0
K104924;23,0;Agder;10,2;3;3;Nei;2337000,0;5,28;29400,0;1;;0
K129813;47,0;Vestfold;1,6;4;4;nei;0,0;;116100,0;0;;0
K127394;38,0;Vestland;6,5;7;7;0;786000,0;5,31;80500,0;0;;0
K114834;71,0;Vestfold;1,3;4;4;0;0,0;;235600,0;0;;0
K127654;30,0;Agder;8,3;2;2;Nei;1264000,0;5,68;304400,0;0;;0
K128122;26,0;Agder;25,3;1;1;JA;1526000,0;4,97;173200,0;0;;0
K109765;26,0;Vestfold;1,3;4;5;JA;0,0;;95900,0;0;;0
K132836;21,0;Agder;6,4;4;4;Ja;1622000,0;5,82;26600,0;0;;0
K112322;46,0;Rogaland;5,1;5;6;Ja;0,0;;518400,0;0;;0
K134383;26,0;Vestfold;2,3;6;6;Ja;0,0;;232000,0;1;;0
K128906;40,0;Rogaland;6,0;3;3;ja;0,0;;119700,0;0;;0
K132340;32,0;Rogaland;6,4;3;3;0;0,0;;98900,0;0;;0
